edad,ingresos,frecuencia_uso,satisfaccion,antiguedad_meses,indice_valor,nivel_riesgo,segmento_edad,desercion,ingresos_normalizado,indice_valor_normalizado
46,3766.88,17,5,81,45.937560975609756,Bajo,Adulto,1,0.6955633056119778,0.0178496017615374
58,2466.28,24,3,27,88.08142857142857,Bajo,Mayor,0,0.4186478280679791,0.03585858303238537
55,3303.56,22,3,1,1651.78,Bajo,Mayor,1,0.5969161588676402,0.7040606226786649
54,1993.9,15,1,18,104.9421052631579,Alto,Mayor,1,0.3180716837636318,0.04306351290895184
53,2935.58,15,2,105,27.694150943396227,Alto,Mayor,1,0.5185681983673782,0.010053800181638518
28,3213.95,20,3,45,69.86847826086957,Bajo,Joven,0,0.5778369677691335,0.028075797546833894
55,1356.27,27,5,69,19.375285714285713,Bajo,Mayor,1,0.1823115607847145,0.00649897010428171
40,2582.19,13,4,93,27.470106382978724,Bajo,Adulto,0,0.4433266478451011,0.009958061121068897
51,2656.18,16,3,117,22.509999999999998,Bajo,Mayor,0,0.45908012791851366,0.007838500956131884
25,3411.92,21,1,89,37.910222222222224,Alto,Joven,0,0.6199874806780874,0.014419347218908503
26,4451.62,10,2,84,52.372,Alto,Joven,0,0.8413537900756696,0.020599175981682153
24,2519.11,13,1,72,34.508356164383564,Alto,Joven,1,0.429896055561943,0.012965656667554644
36,3142.07,21,2,80,38.790987654320986,Alto,Adulto,1,0.562532735471838,0.014795717236079179
20,2420.79,11,5,11,201.7325,Bajo,Joven,1,0.4089623866767162,0.08442413084584732
26,1587.15,5,1,97,16.195408163265306,Alto,Joven,1,0.23146906151926658,0.005140140017562332
61,2288.97,14,4,18,120.47210526315789,Bajo,Mayor,0,0.38089611091948883,0.04969981600810111
62,500.0,1,4,35,13.88888888888889,Alto,Mayor,0,0.0,0.004154514711136592
34,2272.35,22,2,65,34.429545454545455,Alto,Adulto,1,0.3773574862564247,0.012931979155774554
37,2201.76,26,3,40,53.701463414634155,Bajo,Adulto,0,0.36232791255211066,0.021167284299695173
32,1810.7,7,1,64,27.856923076923078,Alto,Adulto,1,0.2790659052874973,0.01012335621603513
